
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
F8:1A:67:52:38:C8, 2016-03-17 09:24:48, 2016-03-17 09:24:52,  6,  54, WPA2 WPA, CCMP TKIP,PSK, -87,        4,        0,   0.  0.  0.  0,  15, Zeza da Paz (2), 
00:15:6D:FA:9F:26, 2016-03-17 09:24:18, 2016-03-17 09:27:26, 10,  -1, OPN, ,   ,  -1,        0,       26,  10.210.  1. 11,   0, , 
1C:7E:E5:9A:3A:30, 2016-03-17 09:23:58, 2016-03-17 09:28:04,  6,  54, WPA2, CCMP,PSK, -89,       42,        0,   0.  0.  0.  0,   9, Alex Reis, 
20:73:55:76:45:E0, 2016-03-17 09:24:05, 2016-03-17 09:27:45,  6,  54, WPA2, CCMP,PSK, -87,       29,        0,   0.  0.  0.  0,   6, sobral, 
70:62:B8:25:63:F4, 2016-03-17 09:26:55, 2016-03-17 09:27:56,  6,  54, WPA2, CCMP TKIP,PSK, -86,       11,        0,   0.  0.  0.  0,   8, GVT-63F6, 
EC:22:80:DF:60:6B, 2016-03-17 09:24:13, 2016-03-17 09:27:46,  7,  54, WPA2, CCMP,PSK, -86,       35,        0,   0.  0.  0.  0,   4, Pepi, 
C6:16:05:01:80:60, 2016-03-17 09:23:47, 2016-03-17 09:28:04,  1,  54, WPA2, CCMP TKIP,PSK, -86,      172,        2,   0.  0.  0.  0,   8, GVT-0F1D, 
04:8D:38:F8:CC:A0, 2016-03-17 09:23:53, 2016-03-17 09:28:06, 10,  54, WPA2, CCMP,PSK, -85,      189,       32,   0.  0.  0.  0,   9, VIVO-CCA1, 
48:EE:0C:11:33:4B, 2016-03-17 09:23:47, 2016-03-17 09:28:05,  1,  54, WPA2, CCMP,PSK, -84,      220,       16,   0.  0.  0.  0,   8, GVT-334B, 
2C:E4:12:9F:83:9D, 2016-03-17 09:23:47, 2016-03-17 09:28:07, 11,  54, WPA2, CCMP,PSK, -69,      723,     1534,   0.  0.  0.  0,   8, GVT-8399, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
14:30:C6:6F:10:CF, 2016-03-17 09:23:57, 2016-03-17 11:25:01, -38,       60, 2C:E4:12:9F:83:9D,
6C:AD:F8:94:39:55, 2016-03-17 09:24:48, 2016-03-17 09:24:48, -83,        8, (not associated) ,GVT-2950
00:21:8D:03:0B:07, 2016-03-17 09:24:18, 2016-03-17 09:27:26, -83,       28, 00:15:6D:FA:9F:26,
5C:C9:D3:56:24:74, 2016-03-17 09:23:47, 2016-03-17 09:28:00, -47,      734, 2C:E4:12:9F:83:9D,
3C:25:D7:69:6D:3C, 2016-03-17 09:24:05, 2016-03-17 11:28:07, -34,      691, 2C:E4:12:9F:83:9D,
38:59:F9:29:E7:C7, 2016-03-17 09:24:05, 2016-03-17 09:28:07, -34,      691, Personal EAP ,MOVISTAR WIFI, Personal EAP

